==================================================
BRANPY MODEL — TREINO DO ZERO
Tamanho: small | Epochs: 20 | LR: 0.0003
Max len: 256 | Vocab: 8000
==================================================

[1/6] Gerando corpus proprio...
  444 linhas geradas

[2/6] Treinando tokenizer BPE proprio...
[Tokenizer] Treinando BPE com vocab_size=8000
[Tokenizer] Corpus: 444 textos
[Tokenizer] Vocab final: 607 tokens
[Tokenizer] Salvo em weights/bran9bpy_scratch\tokenizer.json
  Vocab final: 607 tokens

[3/6] Criando modelo transformer do zero...
[Model] BranPy-5.0M — 6 layers, 256d, 8h
  Parametros: 5,025,536 (5.03M)

[4/6] Preparando dataset...
  444 exemplos, 111 batches

[5/6] Treinando...
  Step 2000/2220 (90.1%) | Loss: 0.7995 | Tempo: 0.9s | ETA: 4min
  Step 2010/2220 (90.5%) | Loss: 0.3400 | Tempo: 0.8s | ETA: 3min
  Step 2020/2220 (91.0%) | Loss: 0.4744 | Tempo: 0.8s | ETA: 3min
  Step 2030/2220 (91.4%) | Loss: 0.4336 | Tempo: 0.8s | ETA: 3min
  Step 2040/2220 (91.9%) | Loss: 0.3332 | Tempo: 0.8s | ETA: 3min
  Step 2050/2220 (92.3%) | Loss: 0.4611 | Tempo: 0.8s | ETA: 3min
  Step 2060/2220 (92.8%) | Loss: 0.5651 | Tempo: 0.8s | ETA: 3min
  Step 2070/2220 (93.2%) | Loss: 0.7131 | Tempo: 0.8s | ETA: 2min
  Step 2080/2220 (93.7%) | Loss: 0.5664 | Tempo: 1.1s | ETA: 2min
  Step 2090/2220 (94.1%) | Loss: 0.4998 | Tempo: 0.8s | ETA: 2min
  Step 2100/2220 (94.6%) | Loss: 0.6435 | Tempo: 0.9s | ETA: 2min

  Epoch 19/20 | Loss media: 0.5438 | Melhor: 0.2734 | Tempo: 34.5min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch19.pt
  Step 2110/2220 (95.0%) | Loss: 0.4660 | Tempo: 0.8s | ETA: 2min
  Step 2120/2220 (95.5%) | Loss: 0.4711 | Tempo: 0.9s | ETA: 2min
  Step 2130/2220 (95.9%) | Loss: 0.5122 | Tempo: 0.8s | ETA: 1min
  Step 2140/2220 (96.4%) | Loss: 0.3389 | Tempo: 0.8s | ETA: 1min
  Step 2150/2220 (96.8%) | Loss: 0.4504 | Tempo: 0.9s | ETA: 1min
  Step 2160/2220 (97.3%) | Loss: 0.5271 | Tempo: 0.8s | ETA: 1min
  Step 2170/2220 (97.7%) | Loss: 0.4538 | Tempo: 0.7s | ETA: 1min
  Step 2180/2220 (98.2%) | Loss: 0.5122 | Tempo: 1.1s | ETA: 1min
  Step 2190/2220 (98.6%) | Loss: 0.8160 | Tempo: 0.9s | ETA: 0min
  Step 2200/2220 (99.1%) | Loss: 0.5592 | Tempo: 0.9s | ETA: 0min
  Step 2210/2220 (99.5%) | Loss: 0.2982 | Tempo: 0.9s | ETA: 0min
  Step 2220/2220 (100.0%) | Loss: 0.5336 | Tempo: 1.0s | ETA: 0min

  Epoch 20/20 | Loss media: 0.5326 | Melhor: 0.2734 | Tempo: 36.1min
  Checkpoint salvo: weights/bran9bpy_scratch\model_epoch20.pt

==================================================
TREINO CONCLUIDO!
Tempo total: 36.1min (0.60h)
Melhor loss: 0.2734
Parametros: 5,025,536 (5.03M)
Modelo: weights/bran9bpy_scratch\model_final.pt
Tokenizer: weights/bran9bpy_scratch\tokenizer.json
==================================================

[6/6] Teste de geracao...
  Input: oi
  Output: ! beleza ? to na a ! funcao e ! voce ! voce ! ta rolando voce ! funciona ) falar do ' voce !

  Input: me ensina python
